"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"HernanTrujillo","20 December 2023","As a Latino myself, I was looking forward to this film but, I was unfortunately disappointed. I was excited to hear that we had a superhero movie starring a Latino cast coming into the works but, it was executed poorly. There are times when they were trying too hard to portray a Latino family, a bit exaggerated and tried too hard to be funny. The acting from a few of the cast was fine, some of it felt forced. It seems like they didn't put as much heart into this film as they would a Batman film. With some work, this could've been a better viewing experience. Xolo was a great casting choice but could use a bit of work on some of his execution to the character.","
            3/10
            "
"TomTalksFilms","20 August 2023","Another day and another superhero film graces the big screen. This time it's DC with a film that feels like a cheap spider-man rip off without any of the interesting bits.Xolo Mariduena plays a young Mexican guy who's just returning home to his family after becoming the first of his family to graduate from college. Like many of us he finds himself jobless and it debt and now the pressures on as the rent for the family home is about to be tripled. What follows is a story about how a guy who's down on his luck mistakenly unleashes the power of the blue beetle and as we all know with great power comes great responsibility which is a quote that maybe Hollywood execs need to start putting into practice with how they treat their writers.The film is about as formulaic as it could be with every single Mexican stereotype forced in there often in the form of jokes that rarely land. I appreciate seeing diversity in my films but Mexican please let me know are you happy with how you're being represented because I wouldn't be if I were you?The films tone doesn't even feel like that of a DC film it's strangely light hearted to the point where it at times feels like a parody of a superhero film. This becomes an even bigger issue when the film throws in some emotional scenes as they have no affect on an audience as they feel so out of place with the light hearted nature of the rest of the film.I tried to stick with this one for as long as I could and there was a scene in the middle between the main character and his uncle (who by the way is by far the best character) where I felt the film may be about to pick up. This wasn't however the case and for the last 45 minutes I found myself on my phone and I can't say I've been this bored with a film since Ant Man Quantumania. Whilst I know this film isn't apart of the new phase of DC I do worry what may happen to the state of their productions in the hands of James Gunn who has publicly defended this film.For me it's the worst film of the year so far.","
            8/10
            "
"klchu","20 August 2023","As a far of Blue Beetle from Young Justice we were excited to see this movie. For the most part this is a success and the movie has a good heart and cast. If you have ""super hero fatigue"" this movie won't help but it does change things up a little.First the weak points: Not the best villain, but at least a believable one. The pacing of the movie could also be a little tighter. There are a few scenes which probably should be been DVD extras.The strong points: A decent cast who all get meaningful things to do. The core messages are good, but perhaps not original. Still, well-done tropes are still enjoyable. The SPX are very good. Most of the suit is practical effects so they look real and there isn't CGI overload.This is definitely an ""upper tier"" DC superhero movie. I hope they make a sequel.","
            8/10
            "
"demonblade-37792","18 August 2023","This is a great way to start off Blue Beetle (2023)! The first impression is that it had good jokes that I laughed along with. The whole movie revolves around a comedy-action movie so there was plenty of jokes to go around with. The acting was great with everyone especially Jamie Reyes/Blue Beetle (Xolo Mariduena) making him a likable protagonist. George Lopez playing as Uncle Rudy was my favorite character because he was basically the comedian of the movie. It was glad to see him back on the big screen. The cinematography with the special effects and CGI was good of Blue Beetle himself and there was a lot of blue and purple color schemes going on. It was fresh to see an old DC character getting his own movie. Director Angel Manuel Soto does a great job of portraying Blue Beetle's origin story off to the world. Overall, Blue Beetle is great with its acting, jokes, and action. I would recommend watching it in theaters because I am going for a second viewing!","
            1/10
            "
"ifychukwuokafor","21 September 2023","There's no other way to put this but this movie has no business being in the cinema. An absolute waste of 2hrs with a storyline that would make B-rated movies look top tier. The dialogues appear forced and cliche. I can see why it went through development hell for years and I believe it should've remained so.The script felt like it was made for Nickelodeon but somehow managed to find its way to Warner Bros and don't get me started on the action scenes.What a joke.In all, Blue Beetle was set to flop from the beginning - From the cast to the scriptwriting to the obvious CGI, it stood no chance.I'd not recommend this unless you've got time to burn.","
            6/10
            "
"GhostFoxX","19 September 2023","Anyone who follows DC or even comics as a whole, knows how promising of a character Blue Beetle is in the comics-verse. Guy has been a featuring member of Teen Titans for decades, holding his own as one of the coolest drawn characters that has a very interesting backstory regarding an alien symbiote. The character had immense potential to be turned into a promising live-action film-series out of it. And frankly speaking, I think the cast choice was good as well - they could've pulled off the hype. The only thing that ruined this film, however, is the writing. It's terrible - felt so rushed and low-depth at some points that you'd feel like pausing to not continue watching anymore. CGI was bad for some parts too, but that can still be overlooked as most of it gets the job done quite well. But the writing, man, it's awful. DCU won't have much to build on if they continue doing such pathetic job at writing stories like this.","
            10/10
            "
"GusherPop","17 August 2023","""Blue Beetle"" is a new DC movie that follows the box office success of ""Shazam!"" and ""The Flash."" The film stars Xolo Maridueña as a young superhero and is rated PG-13. The film is inspired by Latin culture and follows the story of a 22-year-old Mexican college grad with a cool family. Director Ángel Manuel Soto's fantasy adventure is familiar to fans of ""Spider-Man: Homecoming,"" ""Black Panther,"" and ""Iron Man,"" but features a main character's superteam instead of Batman and Wonder Woman. Jaime Reyes returns to Palmera City after graduating with a degree but faces a difficult situation as his parents, Rocio and Alberto, have shut down their auto shop and are about to lose their house in a gentrified area. Jaime meets Jenny Kord, who volunteers to help him find a job. However, things take a strange turn when Jenny gives Jaime a blue scarab, a valuable piece of alien biotechnology. Jaime takes the bug out of its box, and the otherworldly entity chooses him as a host, giving him a supersuit and cool abilities. ""Blue Beetle"" takes a Spider-Man comic playbook approach, putting Jaime through the wringer with his new powers, accidentally cutting a bus full of people in half, and even going to space. Maridueña's performance in the learning-to-be-a-superhero scenes is likable, allowing viewers to understand Jaime's strengths and insecurities. The world begins to fall apart as Victoria seeks Jaime to remove alien tech from his body. Jaime's openness to love adds humor and young-adult hormones. DC has had some crummy supervillains in recent years, and Sarandon's antagonist is one of the better examples. Victoria wants the scarab to help her create a One Man Army Corps of souped-up soldiers, including Carapax, a character tied to the controversial real-life School of the Americas. Jaime takes Victoria on with the help of his family, including his Nana, sister Milagro, and Uncle Rudy. Jaime's loving relatives ground his story and add a key sense of representation. The film's plot is grounded in the love and loyalty of Jaime's family, making it a relatable and entertaining story. ""Blue Beetle"" is a comic book series that features Jaime's transformation into a body horror character, blending lively personalities with a deep comic book mythology. The story revolves around Jenny's missing dad Ted Kord, the previous Blue Beetle. As the DC universe undergoes changes, fans can expect more of Jaime in the upcoming reset, highlighting the ongoing flux in the character. ""Blue Beetle"" is a politically spry film that explores the ills of white-American imperialism through the love and loyalty of its characters. The villain, Victoria, is a metaphor for the past and present, while the hero, Love, triumphs over self-discovery. The film's comedy focuses on how these characters mesh, rather than low-hanging memeification, and the family-bound narrative is pure and pure. ""Blue Beetle"" is a superhero film by Soto that despite its unremarkable action sequences, it still maintains vigor due to an entertaining ensemble. Adriana Barraza delivers punchlines, while George Lopez as Uncle Rudy delivers animated pratfalls and one-liners. The film's strength comes from its family, making it an enriching experience at the movies. Although it may not break the mold, it does break expectations. ""Blue Beetle"" is a film directed by Gareth Dunnet-Alcocer, which focuses on convenience and convenience. The story revolves around Jenny stealing a blue scarab, which Victoria uses to develop super-soldiers. Jenny then smuggles it into Jaime's hands, who is unaware of the scarab. Jaime becomes symbiotically linked to the scarab and gets a blue suit. The film's weakest components are the inarticulate composition of the characters, with the villain Victoria being portrayed as a stoic henchman. The film also lacks chemistry between Jenny and Jaime, partly due to Marquezine's overacting and overacting. The film's plot is a mix of nonsensical events and smart beats, but it ultimately fails to deliver a compelling story.","
            1/10
            "
"enadyo","21 September 2023","It is like those ""artistic"" movies that are that slow, you fall asleep, but without being artistic. Like stinky cheese without the cheese.Character building is so bad that it passes through all phases. They're funny, serious, genius, dumb,... all together!Plot holes? Numerus. No, not numerus, too many to count!Logic holes are expected in a ""super hero"" movie. I am not talking about logic holes but about plot holes. Can't explain more without making a spoiler.Special effects? Perfect.Acting? No problem.Direction? ...Oh boy! There are so many directing mistakes that even a student woudln't make.Just stay away.","
            4/10
            "
"MovieNinjaGuy","21 August 2023","I had low expectations of this film.I don't ask for much with movies, just for them to be mildly entertaining at minimum and have some heart. All the talk about bad CGI in the likes of The Flash I don't care about so much. I thought that particular movie was fine. Fun, had decent heart and some likeable characters scattered about who are at least trying to do things to move the story forwards.Blue Beetle however, is as bad as things can become I think when it comes to superhero movies. We have seen some terrible entries in the Marvel space recently as well with Thor 4, Dr Strange 2 and Black Panther 2 being very poor. Strange story choices, terrible villains and bad resolutions. In all 3 of those films the main super heroes are almost just background characters and no longer the focus.Blue Beetle is on that terrible level and this film makes even less sense I have to say and again the main superhero is relegated to be less important than he ought to be for some reason.Every character seems so unlikeable, except for the father. The sister talks about taking a big dump at her cleaning job after we first hear how the family struggles financially. Charming. The grandma ends up with a higher kill count than the super hero. The uncle is a computer wizard who drives a big truck but still can't help the family keep their home.This whole family, who can't make end's meet but who can do everything else when it suits the story just doesn't work in a superhero film. It is not convincing. Story wise I think it is fine/good if they can be there for support and guidance. But to physically take over I think is a crazy approach that doesn't land well at all, especially when the best person out of that bunch is the one who dies before all that takes off.After the father's death the family straight away uses all the abandoned (supposedly) Blue Beetle related gear as in a sort of kitted out ready to go endless Batcave supply. But then we also find out the original Blue Beetle host who that all belong to is still alive in the mid credits scene? Why are we doing any of this? It is all so dumb and never focuses on what the current Blue Beetle superhero could do for humanity.Susan Sarandon, as the baddie, phones in her performance to make things worse. An utterly pointless villain who has some vague mission to make her robot army more of a robot army with the Blue Beetle scarab thing.Furthermore, early on, we find out that the Blue Beetle suit / scarab that gets fused with our hero's body can actually run on auto pilot. So what is the reason to keep the host conscious in that case? The suit seems to make better decisions early on whilst the host succeeds in convincing it to stop it from killing baddies, who then when still alive cause his father's heart attack and death.Compare that badly thought out drivel to the excellent story in the original Superman movie where Superman can't save his father from a heart attack death. He has all these powers but couldn't do that. Reality sinks in and it makes him more determined. There is no such character arc here at all.I didn't like any of what was presented in Blue Beetle story wise or character wise. There isn't 1 thing I can tell you I liked.There have been far better small budget movies this year that should have enjoyed more popularity over this endless superhero nonsense in which we constantly have to put up with lower quality story telling and horrible characters. Some good films I saw recently this year that may have gone unnoticed are: Talk to Me & Sisu. If you're after a big movie go see Gran Turismo.Look for those and give this tripe a miss.It has not been a bad year for movies I think and this hopefully is as low as it can go cinema wise.","
            7/10
            "
"masonsaul","18 August 2023","Blue Beetle is a very generic comic book movie that doesn't do much that's new however thanks to a core focus on family and groundbreaking representation that informs and enhances every decision made it remains a really good comic book movie and definitely one of DC's better films from their recent output.Xolo Mariduena is charisma incarnate here, Jaime is so loveable and leads the film effortlessly. Adriana Barraza, Damián Alcázar, Elpida Carrillo, Belissa Escobedo and especially George Lopez are a great supporting cast with a believable heartwarming family dynamic.Susan Sarandon could've been a delightfully evil, scenery chewing villain but unfortunately she isn't given much and ends up being completely forgettable. Raoul Max Trujillo isn't much better until some very last minute flashbacks that do actually completely change the character for the better.Ángel Manuel Soto doesn't do a lot to bring his own style to this genre but any and all flourishes of blue neon are greatly appreciated and the hand to hand combat is really fun. The music by Bobby Krlic is one of the most unique superhero scores thanks to its synth style which works well for this character.","
            9/10
            "
"torgis","18 August 2023","I watched the trailer and thought it told the whole movie; corny and cookie cutter, nothing spectacular. I know there is a ton of bias going into this with people assuming DC this and Gunn that, but this movie was so much more enjoyable to watch than expected and I was pretty happy with it.Yes, there are a few phrases that feel forced and would fit into the cookie cutter superhero flick. However, that only really happened 2-3 times. The tech shown in the movie was so incredibly fun and the suit - AMAZING. The quality of that suit is what got me in the theatre in the first place and it did not disappoint.It was a really fun movie (without spoiling it), it was not a replication of another, it had some fun characters (and one or two I wasn't a fan of, some moments of not great acting, but it wasn't a massive budget to begin with). Actually teared up at one point (okay, maybe 2).The best way to enjoy this movie is to get out of your own head with the expectations and inter-connectivity of the films and weird sensitivities. I saw another review mentioning the ""fascist"" comment - as a big fan of the character referenced, I still laughed out loud hearing it because it fits the wild energy of the character that said it (clearly intended as a joke). There's no secret agenda, it's a fun movie for a more obscure character, and I had a blast watching it. Went in thinking it wasn't going to be worth the money, but was pleasantly surprised and look forward to watching it again.","
            4/10
            "
"namob-43673","18 August 2023","One of the best from DC and kinda endearing. This is cute-ish, and if this movie had came out 25 years ago we would probably be pretty happy with it. But this is a C-movie, and it does not cut it today, and being cute is not enough to win over viewers.I have not liked a single one of the DC movies. Not even one. A couple of them have been watchable if you have had a few, and this is in that same general area of ""entertainment"". If you'd been gobbling down a 6-pack and a couple of shots, and you have a soft spot for cheesy cliche 1990s superhero movies than you might enjoy this. If you want quality, originality, good writing, good CGi and other things that make a good movie than this is not for you.There are a few cool moments, a few laughs, a couple of scenes which is good, and the music score is pretty nice. But other than that this is simple, perhaps something cute, something old-timey flashback but also so cliche so you know what is going to happen from start to finish, but yea, so what? You have seen this a million times, why not a million and one time? You could actually do worse. So if you are a big fan of the character, you might even find this to be good or great.I give this a very generous 4/10. Which I believe is the second highest I have given to the DC movies. And the reason is I do not think I wasted my money. Despite the score this is endearing and cute and sort of fun. But anyone claiming this is a good movie is delusional. This does not suck, but it does stink and you should be aware.","
            5/10
            "
"claszdsburrogato","7 November 2023","DC has not been having a good year with the films released in 2023. Blue Beetle is everything we've seen before, further reinforcing this tired and repetitive formula. This film again falls into the line of mediocrity, making it forgettable. The whole look of the film doesn't please me, it's sickening to see these extravagant lights and this soulless technology. The humor is forced in many moments and apparently the script doesn't realize this. They repeat the same jokes all the time trying to get at least one laugh, it seems like they try to make the joke stand out, but it's just unbearable every time it occurs. It's unbearable having to talk all the time about films like Blue Beetle. It doesn't deliver anything new or striking, not even striking in a bad way. The only thing that can be taken away from two hours of film is the Latin representation, which is indeed important, but at certain moments they manage to force even that, returning to stereotypes.","
            8/10
            "
"theffachrif","25 September 2023","Directed by Angel Manuel Soto, the story follows Jaime Reyes (Xolo Maridueña) as he searches to find purpose in the world after just graduated from college, but suddenly life throws a curve ball when he unexpectedly finds himself in possession of an ancient relic of alien biotechnology: the Scarab. When the Scarab chooses Jaime to be its host, he is bestowed with an incredible range of superpowers and weaponry.I get it, resetting what is already a risky and messy cinematic universe is a risky move, especially since opening it by introducing a quite unpopular character for the wider audience. But man I'd be lying to myself if I said I didn't enjoy this one, it's a fresh and solid start if not a great one. It's slick, fun, and packed with emotions, while this type of origin story isn't new in the superhero genre but there's something special about Blue Beetle's central plotline. It's about the power of family's love and support also acceptance of what destiny has given to us, sometimes it doesn't meet our expectations, and sometimes it's exceeded it more than we can imagine. We can see it from Jamie's character developed throughout the story, actually not just him but also his family. Life after college isn't what he's imagined, Jamie even said he failed the family and it just gets worse when the scarab chooses him. He couldn't grasp the reality of it at first, but he slowly embraced it, Jamie is destined to be their hero, to be bigger than he had hoped for.I never see Maridueña's prior work, but he's certainly the right guy for the role. He delivers a joyful and honest performance, not to mention the rest of the cast who played the family, their chemistry natural and strong. George Lopez' Uncle Rudy is probably my second favorite, The dude is literally a comic relief. I'm not a big fan of the villains in this movie, there's nothing really special other than they play an important part in the story, obviously. I think they are sort of merely a threat, Susan Sarandon's performance isn't bad though. It's crazy that the CGI is way better and cleaner than The Flash, which has more budget than this movie. Both of the suits are practical but, once again, the Blue Beetle is definitely superior. The first suit-up looks terrifyingly awesome.Blue Beetle is a promising start for the DCU.","
            1/10
            "
"mattaaron","18 August 2023","This might be the worst Superhero film I've ever seen, extremely cheesy, action is low budget and actors did an okay job. Definitely geared towards children (like the fart scene).This is supposed to be the 1st film of the new DC/James Gunn universe, which is really disappointing.I noticed a ton of action/sequences that were ripped off from other movies too (Man of Steel, Spider-Man, etc), humor felt very dated and acting felt forced. I had high hopes, trailer looked kind of fun, but the movie went down hill from the start and just got worse and worse.I hope things turn around for DC, I really do.","
            1/10
            "
"danielwilianto","27 October 2023","If I take a shot everytime something stupid happens on screen, I will be dead drunk already by one hour.Our protagonists can easily steal important stuffs from the headquarter building of a multi billion company. A weapon manufacturing company! Should I mention that these protagonists are commoners without any thieving or robbery experience?Next, a dead beat uncle who's unmarried, unemployed, and lives in his brother's living room, is somehow very tech savvy, being able to many incredible stuffs, and drives like Vin Diesel does.Next, the father figure has just died hours ago, but his family members, which are supposed to love him very much, have all forgotten about him. They are being happy riding in some high tech bee robot and wield cool guns.Next, a bit overweight scientist guy somehow decides to sacrifice his own life for some young man he has just met. Even if his guilty conscience makes him unwilling to take the man's life, he has zero reason to sacrifice his own life. I will simply watch on the sideline.","
            8/10
            "
"rgkarim","19 August 2023","LIKES:The Music:
-A simple like for some, the music has a bit of a mixture that is fun, toe tapping, and representative of the moment.-Hispanic raps and ballads have melodrama and that spice at moments with their catchy beats and vocals.-Other songs are that hip hop attitude that comes at the perfect moment to go with the impressive action and training moments. Really pushing the boundaries
-And the symphony songs are quite impressive when they come out in key moments.The Comedy:
-A big selling point, Blue Beetle is a lot of slapstick and jokes that might get excessive for some.-If you are Hispanic and have the relevance, it makes the comedy even better, as the cultural references are a deck of cards lined to be a winning hand.-While others are less specific, with great execution, timing, and quirkiness that I had fun with when it all came together.-And those who like uncoordinated tripping, stumbling, and accident prone comedy work to help raise the torch.-While not the most unique, it works for a comic book movie and has a place with a lot of other elements in this movie.The Story:
-The movie works to add elements that are good for an origin movie trying to reset a big universe.-We have a character arc, some tragic events to put pressure to meet them, a few representable villains, and the growing pains coming with the new power.-It has enough of these elements to blend mostly well, and I enjoyed a lot of the building this movie did with elements that have emotion, growth, and fire that I want in these movies.-And throw everything together within two hours to give you a concise story that is not too convoluted or thought provoking.The Acting:
-It's a comic book movie, and though we have seen monuments to the acting trade in some other films worthy of pedestal raising.-This movie is not bad, in fact good, for what I call the standard way of comic book movies, with a cast that is likeable, feels like a family, and has a bit more realistic feel.-Becky G's voice is not so much singing, and her new interaction as the Beetle's brain is funny, robotic, and near the end shows elements similar to Jarvis.-Bruna Marquezine has a commanding prowess to her. A balanced array of strength and vulnerability, matched with a real character that works well with the various groups she has to be with.-And Xolo Mariduena the lead is sensational. He's funny, charming, delivers his awkward young adult lines well, but grows into some more engaging moments that match the early days of Marvel and D. C. movies.-And George Lopez is... well Lopez. He works as both comedic relief and a good plot device, which might be annoying and old cad to some, but again holds merit in this movie and build up.The Effects... to some degree:
-The effects are what you expect in this movie, and DC continues to put out some impressive moments that worked for me.-Seeing the Blue Beetle fly, alongside his fighting mechanics was good for CGI to most degrees.-Fluid animation, good shifting changes using hard light technology, and a few other things that made the currently impossible, possible.-And with explosions and fires having some practical effects helps further blending of the worlds make it a little easier on the fakeness.The Action:
-It's a little meager to start with as the suit gets time to adjust, but once it does... I was happy.-Blue Beetle has several varieties of action to it, utilizing the start of the abilities and adding a little strategy to the mix up.-Impressive blasting, some good choreography, and helping add a little physical combat offered some mix up to the moments, and with the other things mentioned work to craft a comic worthy battle.-Good cinema alongside adding story elements to it only further enhanced the experience for me, and made most of the fighting in the small time.DISLIKES:The Comedy a Tad Excessive:
-If you have a high tolerance or an attitude of never enough comedy, you'll have no beef with this category.-For me, there are times where the emotional moments and developments are overtaken by another Spanish driven rant, or another screaming bout.-It gets a little tiresome to hear Lopez cry and scream at every other word of his, but it's not the worst compared to some of the other movies I've seen with overutilization.Predictable Story:
-I know that originality is tough to acquire these days, but this movie was very easy to guess what was happening.-Foreshadowing paints an obvious direction this film is going and it takes some of the twists and surprise that you might want in a film like this and an edge.-It all ties up about as I expected, and I think could be part of the boring part that people talk about in their reviews.The Visuals Dip Into Mediocre At Times
-I know this isn't meant to be the most realistic of movies, but Blue Beetle does things well for the most part.-However, there are times that the movie sort of dips in the frame rates and smoothness and gets lost in the hokey fake tones.-Blue Beetle has some polishing to do if they get the okay for a second movie. Maybe a little more blending of the real and the CGI to help blend things. Alongside some better depth and details.-Again, it's not as big for me for most of the movie, but there are some times where post editing was a tad too inconsistent.More Action At The End With Other Characters:
-There is a part where the movie is about planning out the final battle well and using the players.-They kind of do this, but it's underwhelming and used more comedically than that cool finesse to the grand finale.-Blue Beetle picks up the slack, but everyone else is kind of a waste when the potential was there to soar or fly like the character.-Given some of the fun aspects they were going to look at, but then just dropped or ran out of time or creativity.-This happens a lot at the end with a lot of characters, and this might be the biggest dislike for me that I hope will expand in the next attempt at the DC universe.The VERDICT:
Blue Beetle is the supposed start to the Gunn universe, and I had a lot of fun with the movie. It's nothing spectacular, mind blowing, earth shattering, or really sand out like they were int eh past, but that doesn't mean it's a throw away movie for me. The film works well with comedy, origin story, and characters, to make an entertaining build of the world and just focusing on the movie itself. While there are hints at what is to come, the movie is trying to just be a comic book come to life, and bring the punches that comics can only do with a good imagination. And the way they utilize references, technology, and action that I really enjoyed and would have liked a little more of. Yet, the movie is indeed predictable in story terms, a tad excessive at times, and needs some polishing to really hit a consistent B and A gam. Blue Beetle may not be the redefining piece many are still looking for, but it was still a fun incursion with enough gusto to dip into the movie theater. My scores for this piece are:Action/Adventure/Sci-Fi: 8.0
Movie Overall: 7.0.","
            6/10
            "
"sherjan-aamir","17 August 2023","Blue Beetle works well for what it is trying to be, a fun time a the movies that you won't be thinking about once you leave but during the time you're watching it, it'll keep you engaged and entertained for its runtime. The family dynamic works wonderfully and while a few moments can be a bit on the ""childish humour"", most of it came off as charming to me. In tone, it's the closest to the first Shazam film and a similar degree in quality as well. The suit looks great, the fight scenes are cool and the story is unfortunately, generic. The niche fanbase of Blue Beetle will definitely enjoy this one as it is one of the better DC heroes debut and a much big screen debut than a certain other, much popular hero dressed in red who runs fast. If you'd have told me a few years earlier that I'd have a significant better time with this than a Flash film, I would have called you crazy but here we are...","
            4/10
            "
"josephbarros-16407","6 September 2023","Here we are the first movie in Gunns supposed Reboot and DCU and in fine fashion just like his The Suicide Squad Movie its flopping and sinking faster than the titanic.I tried to give this movie a shot I really did but its terrible and generic to the point they even tried to play the ethnic card and it has completely fallen flat on its face.On the good side atleast the special fx were an improvement.....atleast compared to the flash but come on the DC property since 2017 from its managment and choices has been low par.The movies since 2017 Josstice League onwards have floundered and completely imploded, but hey thats what happens when a studio decided to listen to critics and haters and then started making the movies for those types of people, you get a mess, you get flops, you get mediocre, you get generic and pointless movies.I have no interest in Gunns DCU because if its anything like this then it is over before its started, think I will download his movies because I sure aint going to pay to see them after how the studio treated the actors, directors and its fans for almost a decade.James Gunn good luck with Superman Legacy because even that sounds like another retread of the flop Superman Returns 2006 all over again, gunn your going to very much and seriously need it.","
            5/10
            "
"mesho_","16 August 2023","Everything about this movie is so clichéd and generic.And for a 2023 movie, it looks so average. And I can't believe Oppenheimer's production budget was less than this trash by 20m!.Mediocre acting , awful writing , laughable villain. Couldn't you try something different for the villain's motive?I think the end for the superhero movies becomes more clear with every new installment.I'm not asking for you to make a masterpiece but atleast show me that you are trying to provide a work that stands the test of time, I went to watch The Dark Knight just after I finished watching this trash and the difference is absolutely laughable tdk has better visuals and it came out 15 years ago! ( and the marketing of dc claims that their movies are the best since tdk with every movie they release)From this stage I will stop watching any new dc project until I hear something good about it.","
            2/10
            "
"LordJiggy","20 August 2023","A real disappointment. The creators had a ""message"" they wanted to hammer home, and there was this mildly interesting story they decided to hide the propaganda in.The execution had promise, especially with the excellent reactions of the lead actor to being the unwitting/unwilling recipient of a forced integration with the alien life form (think...a nicer version of ""Venom"").Lots of laughs there, but they kept hammering the propaganda into any gap in the CGI action. You know, all the evul white peoples keeping the saintly People of Color down. Because all the people of color were either unappreciated (and unexplained) geniuses, Saints-in-Training, or the Oppressed with Hearts of Gold. Meanwhile the forces of Darkness were part of the white power structure that owned the courts and the police, and were even (SURPRISE SPOILER!) responsible for creating the villain's henchmen.Who could have seen that coming?Man, it was stupid. To say nothing of how the dipshit uncle character (a fitfully funny George Lopez, when the script allowed it) could control an aging superhero's all purposed vehicle just because he was another one of the story's ""Magical Latinos"" and the writers/director were too stupid or lazy to come up with even a minimally logical reason to explain why.Also, the Hero/villian CGI designs owed a LOT to Transformers...they should really cut Michael Bay a check for his stolen creative input.","
            3/10
            "
"isabellacheng","4 December 2023","Why, why is everybody yelling all the time? The dialogue so cheesy, the plot so flimsy. Never was I so annoyed watching a movie I actively wished all the characters to die a painful death. Perhaps except the father and Jenny. Oops. Heck, the mystery of Jenny's dad, who was never shown on screen, was more enticing than the premise of the whole movie.Dude, your boss at a weapon's tech company gave you an important box when the company was entering lockdown, told you explicitly not to open it, not to touch it. You opened it, understood that it was indeed something important despite the box's unassuming appearance, and went ahead to play around with it anyway. What the heck?And so much for insisting ""no killing"" in the first half of the movie, which led to the protagonist annoyingly becoming a punch bag who won't even defend himself. The movie ended with a massacre of the ""bad guys"" while his family was visibly enjoying themselves while doing do. Oh yeah, and there's one last ""no killing"" at the end, which led to the whole island blowing up. What even is the point of all these?I started out giving this a 5/10. Then progressively downgrade it to 4 then 3 and then 2. What a load of dung.You get it? Dung beetle?Still more relevant a joke than the beetle fart gag in the movie.","
            3/10
            "
"alryanjayvillamor","18 September 2023","Doesn't mean the director is Mexican she is needed for the job. The director has just made 1 movie and that's it! What is DC thinking???All about the family but really unnecessary! Aiding him to battle is a no no! Especially that grandma oh my goodness! Plus having Ted's daughter introduced when she is non-existent in the comics is a bad move too. They should rather have Ted instead to mentor Jaime. And maybe, just maybe we get to see a Blue & Gold movie which will suck coz Gunn is running the show.Khaji-da is not a female TF! Also, that scarab at his back is waaaaay to BIG! Don't get me started on OMAC! Isn't he a hero? And got his powers from Brother Eye made by Bruce Wayne? And he's a cyborg too not a human transforming into a war machine!It was an ok movie. It does not deserve a higher ranking above 6. Maybe a flat 6. Or 5!","
            6/10
            "
"AreSee5454","28 December 2023","One of the biggest question in the movie - Why did the scarab chose Jaime? - is never answered. And IMO, makes the movie even worst for it.Why does it make the movie worst?The scarab didn't chose Ted Kord, a man who was very intelligent (I'm assuming since he built all those futuristic technology) and was altruistic (fighting crime even without superpowers).But instead chooses Jaime, why? Because he is...naive? He doesn't want to hurt people with a deadly weapon but doesn't think that people being smashing into objects in high speed aren't going to die due to brain hemorrhage or internal bleeding?Unathletic? The guy barely has any muscle tone; at least Andrew Garfield was cut for The Amazing Spiderman.Weak-minded? Khaji-Da did 90% of all the fighting!!!The only reason I can use as a rational on why the scarab would choose Jaime was because of the latter. She could control and eventually overtake Jaime's body and mind because he was weak.Even Jenny would be more ""worthy"" of the scarab over Jaime.Pros:
+ Bruna Marquezine - sorry, but having some eye helped with the stupidity. However, her exaggerated man-spread when introducing her character was not attractive.Con: (outside of what others have already brought up)
Weapon tech company uses simple guns to fight? Even the fortified island didn't have any weapons for a possible sea or air assault.Carapax fight better with a less overpowering suit?Poor family losing their home all have the newest iPhones, a (poor taste) tricked-out Yota, and expensive taste for shoes. It's funny thatthere are at least 4 abled working people in the house and they still can't pay the house bill?High tech company leaves the most important tech in its entire history alone in a room with no camera, security, or security measures. The same building doesn't up security and lets the building get infiltrated again because El Chapulin playing in the security camera is not too much of a concern to lock down the entire building. But then again, when they did lockdown the building the first time in the beginning they allowed all sorts of people to leave willy-nilly.","
            5/10
            "
"cjonesas","6 October 2023","A kiddy, kiddy, semi entertaining movie with ""great"" visual effects and computer generated imagery, very good family interactions and with a lovely bada^^ super-pulimiot nana.Aside that, Susan Sarandon who still looks great and herself even after 35 years, some campy, cliche, a little predictable plots and sub-plots straight to kindergarten.It is entertaining though with basically bullet-proof everything and not one ounce of blood!Screenplay/storyline: 6Development: 7.5Realism: 6Entertainment: 6Acting: 6.5Filming/photography/cinematography: 7.5VFX/CGI: 8.5Music/score: 7Depth: 5.5Logic: 3.5Flow: 6.5Action/adventure/sci-fi: 6.5Ending: 6.","
            6/10
            "
"skinzilla","20 December 2023","Good special effects but everything else was horrible. First, that family(especially the sister) is one of the most annoying ever put on screen. Whoever tried to write the humor for this movie should stop writing and apply at Walmart or something they are capable of. The plot is dumb, the decisions by characters are idiotic, the movie is full of cliches and familiar tropes and this was an awful representation of Latinos. The death knell for superhero movies is almost complete. DC should just focus on the Peacemaker series and never make another film. This won't bode well for more minority driven blockbusters, that's for sure.","
            4/10
            "
