"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"matthewfonte","27 October 2018","This movie was phenomenal. TBH it was NOTHING like what I expected based on Spiderman 3 but granted I've never read the comics. Tom Hardy is an incredible actor and the ensemble cast was terrific. My kids and I ALL loved this latest Marvel flick. Screw the idiotic, overpaid critics who are nearly always wrong.","
            10/10
            "
"Xamalion","3 October 2018","If you read about the difficult way to this movie (it's been in production hell since Spiderman 3), then you have to accomplish that it turned out quite well. Tom Hardy is a really good choice for the role, and he delivers a solid performance as the underdog on his way to become the hero. I really like that they portray him half of the movie as a coward, because when you look at him he's quite an impressive figure. He's likable. I constantly felt the need of hugging him and telliing him ""it's gonna be alright"" until Venom arrives. I didn't know Michelle Williams was in this movie until I saw her, and she is great. Her brief appearance as female Venom made me cheer and wanting more of that. How cool woul it be if both of them would have a symbiont and team up. Riz Ahmed is a really good actor, because I hated him the first moment he appeared on screen. The movie is a bit of a slow burner because they spend over 30 minutes until the fun kicks in, but then it REALLY kicks in. Venom is funny as hell. In my opinion he's the better Rocket, because Rocket always seems forced funny while Venom is purely instinct driven and the funny part occurs in bizzare ways. In comparison Deadpool is eye blink funny, Venom is absolutely dark funny and that's really great. And there we come to the ..ckheads at Sony for cutting out 40 minutes and forcing a PG13 at it. You're the stupidest people on this planet and I hope you die. Seriously. Venom would agree with me, while biting their heads off. And then there is the other ..ckmove of not putting this in the MCU. As I said, Venom is funny and would be a great addition to the family. Especially knowing that the Avengers will come to an end (at least the team as it is now) after the next Infinity War movie and with the introduction of Captain Marvel. I can't stand the fact, that neither Sony or Disney/Marvel give a damn about the fans. It's always about the effing money and what dumb people in ugly suits think.
I hope they will overthink all this and include the character into the MCU, where it belongs.","
            10/10
            "
"orchidami","26 December 2018","I don't know why people aren't going crazy over this movie. This was by far better than any of the other super heroe villain monster movies out there this year. Tom Hardy was great!!! When do we get to see Venom II?","
            10/10
            "
"coastdaze","6 October 2018","Loved this movie. I wondered about Tom Hardy in this part but he's perfect & I can't imagine anyone else doing a better job. This movie is exciting, fun with some solid laughs. Nothing gratuitous here. Just be sure to go with someone who doesn't chat during a movie because you don't want to miss any of the funny lines.I did not get a very good impression from the trailer and wasn't really expecting too much from Venom. I left the movie with a big smile on my face - love it when that happens at the movies. Lots of good action sequences especially the street chase scenes.This is one of those movies I'll see again just because it's so entertaining!","
            10/10
            "
"jpolywog-52354","1 December 2018","I have no idea what Tom Hardy was thinking when he signed up for this movie. I understand that he may have been persuaded by his son who is a fan of 'Venom'..It just goes to prove that you should never listen to your children.If you enjoy special effects at the expense of good acting and an intelligent plot then this will be right up your street.When I say that the highlight for me was the brief cameo appearance by the late great Stan Lee then you will get my drift.I am always intrigued by the reviews which begin...'do not believe all the negative reviews'..this invariably suggests to me that I really should believe all the negative reviews.Maybe I should start a trend by commencing my review by saying 'do not believe all the positive reviews'..then again I may be accused of contradicting myself. Suffice to say that in my humble opinion this is one turkey of a film. Mind you it is the festive season. ..","
            1/10
            "
"JohnDeSando","4 October 2018","Venom is a surprise: It's funny; it's mad; and much to my delight, it has an antihero more interesting than a pile of other Marvel superheroes on most days. Eddie Brock (Tom Hardy) is an ace TV street reporter who manages to lose his job pursuing a demented inventor, Dr. Carlton Drake (Riz Ahmed), while managing to become the host for an ugly but sometimes comical slimy alien parasite or ""symbiote.""Although film Venom is replete with the usual superhero tropes like the slow-to-get-it love interest, Anne (Michelle Williams), the demented scientist, the threat to the world, and toothy monsters, it has a levity Deadpool could admire, but to a much lesser extent. Not a small number of light moments come from the dialogue between Eddie and his occupying alien Venom, who decides he likes Eddie and the planet so he won't be the one to destroy it. There are others like him to do it.As in so many of these horror, sci fi thrillers, the amount of violence from explosions and body tossing is too much. Director Ruben Fleischer could have minimized the scenes and substituted more of the ironic dialogue that makes this a watchable adventure. Scott Rosenberg and the other writers are up to the task.Hardy's winning characterization of a rough-around-the-edges hero who has to stop evil is punctuated with naivete, innocence, and a sense of justice and humor. With no Spiderman to distract him, Venom can form a friendship with his parasite that, as they shamble away together, may remind some of the super classic, Casablanca. Hardy is no Bogey, but his Brock is quirky and eccentric enough for me to hope for a sequel, even with Spiderman to distract.","
            4/10
            "
"Leofwine_draca","20 January 2020","VENOM is a surprisingly awful Marvel adaptation that doesn't sit at all well with the usual likes of the Marvel Cinematic Universe and its generally effective comic book adaptations. This one's far sillier and more nonsensical, as token bad guy Riz Ahmed works on some alien nasties in a laboratory and weird reporter Tom Hardy gets infected. The plot is as simple as that, but what is there to enjoy here? Hardy is known for eccentric characters and they often work (check out MAD MAX: FURY ROAD) but here he just comes across as annoying and his American accent doesn't sound good either. The second half moves into predictable comic book territory, i.e. an overload of CGI effects and not much in the way of thought. Things remain tame despite attempts at a harder edge, and the decision to have the alien talk made it all laughable for me.","
            10/10
            "
"burkholdermicah","3 October 2018","Venom is a truly Epic Superhero or SuperVillain Movie. It's a really Entertaining Watch, It's well Directed, The Action Scenes are Great, and it shows that even Spider-Man really can be Great. Venom is a truly terrifying beast and this is a really Amazing Movie. This is way better than what the Critics say about this Movie. They really don't know what they are talking about, and this is one of those really rare occasions when the Critics are wrong about almost everything. I am honestly disgusted by the Negativity revolving around this Movie. I don't know why they would prefer Amazing Spider-Man 2 over this Movie. I will definitely be looking foreword to the Sequel and all of the other SuperVillain Movies to come. If you're a Marvel Fan, if you're a Spider-Man fan, if you love going to the Theaters, and if you're a 100% Movie fan then you should definitely Go Out And Watch This Movie and ignore those Darn Critics!","
            4/10
            "
"ferguson-6","4 October 2018","Greetings again from the darkness. For those movie-goers who believe there is no need for another comic book movie, you now have People's Exhibit A. This is the 5th Marvel film of 2018 (yep, that's a new one every other month!), and it's the first one proving challenging to say much of anything that is positive or complimentary. The packed house at the screening had very few reactions during the movie, and seemed deflated afterwards.It should be noted that this is not a Superhero movie, but rather a film based on the Marvel Comic characters and stories of Todd McFarlane and David Michelinie. Four writers are credited with the screenplay, and it seems they either needed more or fewer. Director Ruben Fleisher (ZOMBIELAND, 2009) apparently worked with what he was given, hoping the stellar cast or the CGI could salvage the project. The always terrific Tom Hardy (Bane in THE DARK KNIGHT RISES) stars as Eddie Brock, a renowned investigative reporter popular for breaking stories of corruption and fraud. Unfortunately, he has a significant lapse in ethics - an unusually forthright comment from Hollywood on today's media. This lapse costs Brock his job, his girlfriend (4 time Oscar nominee Michelle Williams), and any semblance of normalcy. While investigating the unimaginable human-alien experiments of megalomaniac Carlton Drake (Riz Ahmed), Brock takes on the powers of the symbiote (Venom) and spends the rest of the movie either trying to control these powers, sitting back and letting the powers take over, or exchanging frat boy dialogue with the possessive being who picked up all nuances of the English language pretty darn quickly.Venom was last seen in the lackluster SPIDER-MAN 3 and was played by Topher Grace. This time out, Venom is the focus and Spidey is nowhere to be found or mentioned ... at least not until post credits (a terrific animated sequence). The CGI is at times very impressive - reminiscent of something John Carpenter might have ordered. Two sides of the Transamerica Pyramid provide a nice visual, however, the effects are not at all consistent. Far too often ... especially the battle between Venom and Riot ...it's just plain messy (like letting a group of toddlers play with black and gray slime). The film's saving grace could have been the interactions between Mr. Hardy and Ms. Williams, both stellar actors, but the dialogue and situations are so ridiculous that even those scenes don't click. The moments that draw laughter from the audience may or may not have been by design, but there are far too many 'forced comedic moments' that just fall flat. Composer Ludwig Goransson (CREED, BLACK PANTHER) delivers some nice moments with the score, but the Eminem song over the closing credits sounds amateurish. The film is very loud, and not so much lacking direction as it is burdened with too many directions and misfires. A comic book movie's first priority is to be fun, and this one just isn't much of that. Surprisingly, the film is rated PG-13 rather than R, so the excessive violence (and there is plenty) never actually spills a drop of blood. Perhaps the goal was to make a Marvel movie so uninspiring that BLACK PANTHER's Oscar chances would be enhanced. Otherwise, there's no excuse.","
            10/10
            "
"aditbiju","28 October 2018","SpiderMan 3 and Venom both did good in the box office, but Tom Hardy's Performance is better than Spdier Man3's Venom","
            7/10
            "
"joshkroitor","4 October 2018","Don't listen to the haters. This movie was amazing! You'll love it.","
            7/10
            "
"joshkroitor","16 October 2018","You really shouldn't listen to the critics. My friends and I agree that this is one of the best Marvel movies out. There is so much dark comedy and it made us all laugh our heads off. If I was in control of setting the IMDb rating, it would be an 8.9","
            5/10
            "
"paul_haakonsen","1 December 2018","Right, well granted my lack of interest in superhero movies, then I couldn't exactly claim to be thrilled when this movie was announced, even so when it hit the cinema. So it was only when given the chance to watch it that I got around to it. Can't exactly claim that ""Venom"" was high on my movies to watch.First of all, well aside from it being a superhero movie, then I wasn't particularly enthralled with it being Tom Hardy having the lead role. Not much of a fan of his, to be honest. But I will say that he carried the movie quite nicely, despite having very little to work with in terms of a thoroughly-crafted script. Yeah, the storyline was fairly simplistic, and the script was almost so light-weight that it was non-existing.The special effects and CGI in the movie were adequate. They weren't the kind that have you going ""wow, that's spectacular and impressive"". So for a movie made in 2018 it felt that they cut back on the effects budget in a way.Now, I was having a bit of a hard time whether to take the movie as a serious movie, or if it was meant to be a comedy. Venom was all over the place, in terms of it being a comedy movie or a serious movie, and even had elements that bordered on horror on it. But it was sort of hard to take some of the things that Venom said seriously.I wasn't impressed by ""Venom"". And to be honest, then it would have taken very little to impress me, because I am not a fan of superhero movies and tend to avoid them. I am sure that there is a fanbase for ""Venom"" out there, but for us that aren't attuned to the superhero genre, then ""Venom"" had very little to offer in terms of entertainment, aside from being a generic action movie.","
            7/10
            "
"sullybo55","3 October 2018","The trailer and film are two completely different vibes, still, a must see hero film!","
            1/10
            "
"daniellawsonrt","8 October 2018","Another superhero movie for the unwashed masses. 
Seriously, what's the point? The zombies will flock to see it, buy the TShirts, and unwittingly finance a sequel, which will be worse than the original but make twice as much money.....","
            8/10
            "
"prettigurl-16620","29 October 2019","Cant wait for the second film. And definitely hoping the tom Holland spiderman crossover rumors are true!!","
            8/10
            "
"CinemaClown","28 November 2018","A strong contender for the worst film of the year, Venom is an amalgamation of terrible direction, piss-poor writing & fidgety performances that crashes n burns Sony's hopes of launching its very own shared universe on a positive & promising note, for there isn't one thing redeemable in this incoherent & inconsistent mess.The story follows Eddie Brock, an investigative reporter who while enquiring into a major corporation's malpractice comes into contact with an alien symbiote that was brought to Earth by their probe. As the two species achieve full symbiosis, he is imbued with superhuman strength & a violent alter-ego that calls itself Venom.Directed by Ruben Fleischer, the film fails to pave the necessary groundwork and it doesn't get any better after the first act either. The whole thing feels hurried & chaotic, unsure of what it wants to be, as the plot becomes more ridiculous with every passing moment. Fleischer's direction is lazy and the writing is even worse.All its attempts at humour fall flat, the dialogues are cringeworthy and whatever action it has in store has no sense of excitement whatsoever since the characters are so poorly sketched that we are never invested in them. Not a single person in this story exhibits an interesting arc and the eponymous anti-hero is a total joke.Coming to the performances, Tom Hardy is monstrously bad as both Eddie Brock & Venom. He is way too fidgety as if high on drugs, long before becoming a host to the alien symbiote, and his act is as stupid as it is laughable. Michelle Williams & Riz Ahmed happily dent their acting careers for a healthy paycheck. Also, for a $100 million budget film, the VFX looks absurdly dated & cartoonish.On an overall scale, Venom is a lethargic, listless & lifeless blockbuster that easily goes down as one of the worst examples of its kind. Failing to provide a sense of intrigue at any given time, it's one idiotic segment stacked on top of another for a total of 112 minutes and just when you think the film has got nowhere to go but up, it surprises you. A dud in all aspects of filmmaking, Venom is no less than an absolute eyesore.","
            7/10
            "
"dogmaticdogs","6 October 2018","I wonder if all the hate is because Sony produced this film outside of the Marvel Studio universe because I actually found it very entertaining. There was a lot of action, and the special effects were very good. The movie theater was full, and many people were laughing out-loud and clapped after the movie. Yes, the main character was kind of corny, but I found Venom's human ego less corny than Iron Man or Captain America. I also found it refreshing that it occurred in a world that wasn't already occupied by other super heroes. It seemed more realistic and adult oriented than other marvel character movies, but I would have preferred it being a bit darker rather than light hearted.I am not a huge fan of super hero movies other than Dark Knight, but I really enjoyed this. It shouldn't win any awards, but if you like the genre, I found it better than most. The movie suggested that Tom Hardy was a loser before he became Venom. If he was a loser, what the hell does that make me?","
            8/10
            "
"gerry_barnaby","3 October 2018","Venom is it any good.......... Well i'l be honest it good but there is a lot of issues I had with it, the certification isn't one, which im glad they took it to at least a 15 cert instead of the stupid 12A- PG-13 route because it allows the character to be a bit better, but I do feel the R-rating would have been better.The Biggest problem with Venom being a low certification is carnage, which could be in a sequel if this film is a success in box office, its need to push it to R-rating because of the PG13- 12A, 15 certs won't work for it.Not that im saying this venom film was a disaster because it's not but the film does have some major issues in it casting and storytelling, which is a shame because there are areas in this film that were generally funny (mainly the building scene) The humour is very sarcastic from the character of venom, so it gonna be that moment unless you find sarcastic humour funny, you might not like the humour in this film. Tom Hardy hardy performance is brilliant in playing the report asking the hard the questions and pushing boundary that everyone doesn't dare ask, this is how the real reporter gets the hard truth and doesn't makeup thing for a story.Tom performance give a great scared and vulnerable person when he first meets venom, giving off a guy that has no clue what the hell is going on which sell the character more, Venom himself is a awesome character but so hell back slight with the Certification. I noticed at the beginning of the film, which not a lot of people born after the 90s won't know about is the very scene at this point was actually the original storyline of Venom origin to earth with a slight story chance that was more plausible for the story which did help.We get a lot of great fight scenes through the film, with a few moments of funny humour (if you can get the sarcastic humour) while the film does maintain some element of that dark edge. The visual effects are great on venom especial the humour, but there is an area with the visual that is bad. This sadly is where im gonna have to rip into the film bad points there a few of them. Dislikes: 1. Casting. Riz Ahmed as Carlton Drake / Riot, Riz is a good actor, even I can see that but playing the antagonist villian in the film, ya sorry just wasn't feeling it, not sure if it was the writing for character or just the way he was he's portraying this role, he just didn't have that ruthless charismatic tone to be a character. This sadly makes the villian of the film very generic which I hate because it pulls the film down.2. Casting. Michelle Williams playing Anne Weying, Again Michelle is a great actress ive seen her is so many great films where she shined given a great performance in those films. Here in venom again great performance but I feel she was the wrong casting for this role, I'll explain, there was zero chemistry between William and Hardy on the screen. Which made the romance and relationship together feel forced instead of feeling a natural connection with each other, I feel this Me to concept just didn't work in this film. 3. Visual effects. The motorbike chase there is a moment where it takes you out of the immersion of the chase which blantant Green screen shots, there was a moment where you can blatantly see that a stunt scene that it was Tom Hardy on the bike and a stunt double. I feel the close up scene of Tom Hardy on the bike were unnecessary, could have been edit out the film, because the rest of the scene was perfect.4. The story. The story felt very generic, Venom didn't show up until almost halfway through the second act but before we could get any build up with a showdown with Riot, the film was already over, this is where the writing failed. You have too many people writing on a story you get a mess of a film because of it, the direction of the film is going in serval direction and the moments that just don't seemly fit together. The flow of the film with it pacing is off which is bad for the film, this is why this film comes off great but still generic, I mean the whole build up between Roit and venom should have been from the end of the first act and not dragged out until the halfway through the second act. This is why I feel the film is Great in places but overall generic where the film could've been better. Overall: Great acting, Funny sarcastic moment, Great but generic story and bad casting with a generic villian","
            2/10
            "
"pourya-pe","3 October 2018","It's good to entertain yourself for some hours and Tom Hardy is great...... enjoy the movie....","
            2/10
            "
"bastille-852-731547","16 October 2018","Despite poor reviews from critics, ""Venom"" is making quite a lot of money at the box office right now. Maybe it's because of the popularity of the character, or maybe even the fact that some casual audiences may (incorrectly) believe it is part of the MCU. I didn't think it looked very good and was not planning to see it in theaters originally, and only went to see it because of an online ticketing coupon which made it free. That said, I went in optimistic, as there have been some films this year that looked unappealing yet I ended up finding them enjoyable (e.g. ""The Spy Who Dumped Me."") But despite my optimistic sentiment, ""Venom"" was not just bad, it was really bad.I like Tom Hardy as an actor, but his acting is incredibly weak here. He is not really given much of a range to work with, which isn't necessarily his fault, but his portrayal of Eddie Brock is wholly unconvincing. The film's ""origin story"" tropes are rather tired, but that's nothing compared to the film's atrocious script. The script for this film is one of the worst in recent memory, with unbelievably cheesy dialogue or very cliché dialogue (e.g. Brock saying ""what is wrong with me?"" after feeling sick, etc.) coming at the viewer in almost every scene. Additionally, the film's tonal mishaps give the film a major identity crisis. ""Venom"" can't decide whether it wants to be an action-comedy a la traditional Marvel movies or a sci-fi horror flick a la ""Alien."" The problem is that the movie struggles with both tones. The attempts at humor in the movie feel incredibly forced and unfunny. Despite some creepy images of body horror and one or two jump scares, the movie is not particularly scary either. As a result, the movie just feels like a mishmash that was thrown together. The only remotely decent thing about it is an engaging car chase scene about halfway through. Definitely not recommended. 2/10","
            6/10
            "
"pardes2002","5 December 2018","This is my first review, I am a big marvel fan and love the Venom character. When I watched the trailers I can defo say I was impressed with the Venom Suit, this is how the suit should look like rather than the Spider-Man 3 VersionI wanted to like this movie however I walked out so disappointed- Tom hardy is a very good actor who had the ability to get under the skin of a character I.e Bane, Mad Max, Bronson however in this case he just wasn't any good, He doesn't actually give justice to the roleThe plot made no sense and had no flow... there wasn't a single character that stood out that made the movie worth watching. The director really took on something more than he couldnt handle..As for the CGI wow it was really really bad... it was like a 10 year old doing it... where on other marvel studio movies the CGI looks really impressive It felt like Venom CGI was rushed and done by amateursI left the movie feeling quite disappointed and thinking had Marvel Studios had the rights on Venom they could have made this a really good movie.The critics have got this Spot OnFinal thought - Don't waste ur time and money on this movie and if there is to be a Venom 2 I really hope Marvel Studios make it!","
            1/10
            "
"t-boost","8 October 2018","Can't wait for the sequel. I thought it would be like new spider man movies but it shocked how the director put the story right. I can't wait for the sequel and I hope Tom Hardy will be in it ..man that's a good movie.","
            8/10
            "
"tim-anderson-18791","6 October 2018","This movie is just ok. Nothing more. Not bad visually, though. Main character is uncharismatic much like the fictional scruffy slob that he is. Weak acting and script. The so called bad guy is pathetic and unbelievable. I'm just about ready to give this site away. It's more like generic positive reviews followed by a bombardment of negative back stabbing between critics. More like Facebook for movie goers!","
            10/10
            "
"nickdinicola","3 October 2018","Critics hate on the movie that had a layered preformance from Tom Hardy and Michelle Williams, supported by great post credit scenes","
            1/10
            "
"dressedkill","3 October 2018","So because this isn't officially part of the overrated Marvel cinematic universe and is a spin off with its own identity not including the new terrible millennial Spiderman played by Tom Holland, critics and people are bashing it beyond belief not giving it a chance at all. In the end it's going to be better off without the MCU formula being forced down everyone's throat with her tired themes and tropes. Eddie Brock's/venom's Symbiote story is a very intriguing one that doesn't necessarily need Spiderman to succeed and I think this will prove a lot of people wrong and stupid for doubting it. Also the critics...don't even get me started on how terrible and pretentious these loony critics are where they dismantle every film that does not fit their liberal PC propaganda. The fact that there are so many sheep that will blindly follow these mindless cretins and let them dictate whether not they enjoy or see a movie R just sad human beings without any free thinking ability . Most people look at credit scores and reviews and already have their pre-determined opinions made up to go see the movie and then bash it directly after finding abhorrently stupid excuses as to why they hated it . Just go see the film for yourself because it looks to break away from the tired MCU formula .","
            2/10
            "
"fernando_ribero-474-301275","8 December 2018","After seeing this crap film. I understand why Tom Hardy threatened to get away from the film industry.
It's been a long time that while I watch a movie I do not advance scenes.
Bad picture. Written by people who can not write. Terribly directed.
Reading the revies in general I realize how many false accounts there are behind IMDB supporting and doing politics of indefensible things.
I regret having tried to see this crap.
From now on I'm going to pay attention to my instincts.
The trailer already told me that this was going to be bad.
I was surprised by what overestimates this cinematographic garbage.","
            3/10
            "
"vjnambu","13 April 2020","You have a terrific actor like tom hardy with you and a great villain venom with you one would definitely expect a great film. But what we got is a wasted opportunity. Director totally messed up everything. Everything was done for namesake. So many weird and disgusting scenes. Only good thing was tom hardy's performance and eddie brock's bromance with venom. When logan and deadpool proved that you can make a brilliant r rated film and make money, here sony studios play safe with pg13. This proves that sony would do anything cheap to cash on spiderman's name.","
            10/10
            "
"Offworld_Colony","12 February 2020","A film that seems to have been written in the 90's, desperate to keep a lower budget, a PG13, and a wide audience so it doesn't bother being a good horror, a good antihero movie, or a good sci-fi. It sort of manages to be a passable buddy movie but only just, and probably due to a bonkers Tom Hardy who is clearly having the time of his life.
There's so much in the idea to have unlimited potential, and yet it's a hole-ridden, lily-white superhero film with only marginally more actual Venom than Raimi's Spider-Man 3, and all the beats of a run of a mill early superhero film. Unfortunately since Deadpool, a Venom movie would have to have upped its game. Sometimes it's fun, most of the while, it's depressingly by the numbers.","
            4/10
            "
"carinboshuisen","3 October 2018","This was my first Marvel experience and I totally loved it! Everything was in it to make is a fun ride in a rollercoaster. Only point is that Venom sometimes sounds as cookiemonster. But overall it was a great first time for me with Marvel.","
            3/10
            "
"BandSAboutMovies","28 December 2018","Directed by Ruben Fleischer (Zombieland, Gangster Squad), Venom has appeared on plenty of worst of lists this year. I held back judgment until I saw the movie. I can sum it up in one word: underwhelming. But after all, who was clamoring for a Venom movie after Spider-Man 3? Who was needing one in 2018? And after the magic of Spider-Man: Into the Spider-Verse, why do filmmakers feel they can still be so lazy with superheroes?
That said, Venom is critic proof. After all, it was a box office success, ultimately earning $855 million worldwide, becoming the fifth highest-grossing film of 2018.It all comes down to one good thing: Tom Hardy. It's like this dude has to have the craziest voices in movies. His Eddie Brock voice is just the most need to please accent ever, while Venom, in his own words, is a ""James Brown lounge lizard."" The relationship between these two characters -- who become one person -- is the best part of the movie. Hardy also improvised a lot, such as when he jumps into a lobster tank to cool down. I kind of love that the dude was pretty much making up his own film. The actor claimed that he based his performance on Woody Allen, Conor McGregor and Redman.Everything else -- from the villains to Eddie Brock's relationships -- is as generic as it gets. Big points for having Jenny Slate in here, even if she does nothing. It's like the film felt it had to give us an origin when all we want to see is Venom break stuff. The end of the film, where he eats a criminal and meets Cletus ""Carnage"" Kasady (and come on, who doesn't want to watch Matthew McConaughey against Hardy in a battle of accents and overacting) is exactly what everyone really wants, not nearly two hours of generic soldiers and Venom battling Elon Musk.In the spin of selling this movie, Columbia Pictures president Sanford Panitch claimed that ""Venom was considered a spin on a horror film, inspired by the works of John Carpenter and David Cronenberg, but with more pop and fun."" People that say these kinds of things have never seen films by these two directors. Get their words out of your mouth and make better movies.The hard part of this whole thing is that there's a tease of Spider-Man: Into the Spider-Verse, which will either make you say, ""I should have just watched that"" or ""Man, that was such a better movie.""","
            9/10
            "
"NarniaIsAwesome","6 January 2019","After seeing Venom's character in 'Spider-Man 3,' I was a bit excited for this film. It had potential for being fun and awesome. But it was no more than the typical Marvel disappointment.It wasn't poorly made in terms of budget or even acting, really - it's just a little shallow and boring. Tom Hardy is a quite unlikable character, and even when he gets Venom he can't pull it off. There is one well choreographed motorcycle scene though, and that's the reason for the three stars I gave it. And who on earth was Woody Harrelson supposed to be?My biggest question is how this Venom fits into 'Spider-Man 3.' 'Venom' is
""meh"" and out of place for the current state of superhero movies. It could've been better.","
            8/10
            "
"kelly966","10 February 2019","Knew nothing about this film but thoroughly enjoyed it tom hardy is awesome I do hope there will be more in the franchise","
            2/10
            "
"Untoten","5 October 2018","Just had to make my first review here in iMDB after all these years just to make some justice for this movie. Ignore the critics and go see it for yourself! Much better than critics let assume. We're Venom!","
            10/10
            "
"mihsankan","9 October 2018","It felt very off. Pace was bad with a lot of time wasted. Main villain was extremely lame. Action scenes were below mediocre. Jokes were flat. Acting in general was very wrong, weird and fake. Tom Hardy kind of carried this thing, but he felt too good for this role.I blame it all on bad directing, bad script and extremely bad editing.P.S.: I never heard any ""critics"" before watching this movie and I really dont understant all those 10/10 ""ignore critics!"" reviews. This movie was just not good.","
            8/10
            "
"josephmonaghan-34145","24 October 2018","I personally think this is Tom Hardys finest next to The Revenant, best dialogue and performances ever I hope they make a sequel with Carnage ASAP because venom is not complete without the other which is Carnage but nonetheless great acting and good special, visual and motion capture effects especially to HARDY.","
            8/10
            "
"worldeliteassaultsquad","20 June 2022","Funny, action, good story, and pure entertainment. Hardy plays the character perfect. It's like a perfect fit kind of like Reynolds and Deadpool. He was made for the part.","
            10/10
            "
"Marvo2369","3 October 2018","When I went to see venom I was expecting the worst (violent content wise), expecting gore, blood, etc. and for it to be a proper horror film. Although the film had its intense, scary moments, it was another marvel comedy. However, this was a pleasant surprise and made the film even more enjoyable. Tom Hardy played the role brilliantly, absolutely nailed it. But do not expect a violent horror film. The three times he did eat someone's head, it was either not viewable to the audience or contained no blood and gore and happened mostly off screen. Apart from all of this, the film felt short, rushed at points and the direction of the story changes throughout. I would still say it is a must see as I thoroughly enjoyed it.","
            5/10
            "
"miho-dae","4 October 2018","What happened to you rotten tomatoes, you're wrong. To be honest, VENOM IS BETTER THAN I EXPECTED.. Great Action flick, good acting, the stories may be decent but it's not boring at all...","
            4/10
            "
"nitro72","30 June 2019","Tom Hardy - as both Eddie Brock & (especially) Venom - is a lot of fun, but the antagonist is a toothless cliche; the first 30m felt unnecessary (could've been condensed to about 5-10m) while the ending felt rushed.","
            6/10
            "
"aabz","7 October 2018","More bland pg13 goodness, kinda like what we got last time venom was on film. I would've probably enjoyed it a lot more if they hadn't sold out on the R rating. Tom Hardy tries to save the film, but can only do so much.","
            10/10
            "
"imursel","3 December 2018","Acting: 7
/Story: 6
/Production values: 8
/Suspence - Thriller level: 6
/Action: 8
/Mystery - unknown: 9
/Romance level: 5
/Film noir ~ neo-noir density: none
/Comedy elements: 6
/Overall: 6","
            1/10
            "
"supbericw","2 November 2018","Don't waste 1 hour 30 minutes in the traffic for just drive home in the rush hour. Yeah, I choose to go to this movie... Completely satisfied after watch it... So much Fun and darkness side explored with Venom. Spiritually, I felt that I wish to kick some bad ass and bad guys in my mind too...","
            10/10
            "
"carolynmcevoy","17 January 2020","This movie is so stupid I find it hard to put into words. Stupid, stupid, stupid.","
            4/10
            "
"horrorgasm","9 December 2018","I'll admit, going into this I expected it to be hot garbage and I was slightly surprised to find that I was wrong, it's only lukewarm garbage, which is almost worse because there was clearly a lot of money and talent thrown into this movie, but it's all completely wasted on lazy, apathetic writing and inept directing and editing. It's just such a missed opportunity. This could have been a good movie if they had just put some effort into it.Look, I have nothing against mindless action movies, but there's absolutely nothing impressive about this one. The plot, the jokes, the characters, the action scenes...they're all terribly flat and generic. Everything about this movie is painfully mediocre except for a few brief moments of high-priced CGI, and even that ends up being mostly underwhelming because the scenes containing it range from bland to awful.Even if you turn your brain off entirely and are hugely obsessed with the character of Venom, even being generous, this is AT BEST an utterly average movie, deserving of nothing more than a 6 or 7. Personally I'd rate it at around a 5 because even if you ignore everything but the action scenes, it's still an entirely forgettable experience that I'll never watch again. In the end though, I'm giving it a 1 just to balance out the absolutely insane number of people giving this generic cash-in movie a 10. If any of you are actually real people and not just paid shills, your level of self-delusion is embarrassing.","
            3/10
            "
"klaudiazareba","3 October 2018","I was impressed by the trailer but the movie was even better. It was humorous, Tom Hardy was an amazing choice for this role. The relationship and interactions between Eddie and Venom made the whole theatre laugh. Don't listen to the negative critics and watch it yourself!","
            1/10
            "
"cricketbat","31 December 2018","Venom just doesn't know what it wants to be, and it suffers because of it. The story starts out dark and dramatic, so when it starts throwing jokes around, they feel out of place. The dialogue is corny and the fight scenes are a series of blurry images and quick cuts, which makes the action quickly become tedious. We didn't like this movie.","
            10/10
            "
"JohnnySlayer","3 October 2018","When Sony announced that this film would ignore the R rating to see if this can join the Marvel Cinematic Universe, I knew it was going to be trash. Almost 40 minutes were cut out and those scenes were Hardy's favorite moments shooting this film. Hardy was the best part and honestly the only good thing about the film. Everything else was a mess. I appreciate that Sony tried to be as comic accurate to the character as possible, but it wasn't enough. The tone was everywhere. I can't even begin to tell how bad on what they were trying to do, because I don't even know. Side characters do their part and that's that. I don't understand why the even want to try go with a PG-13 rating. Venom doesn't need the MCU and the MCU doesn't need venom. If the movie would have stayed with the R rating. It would have been a better movie for sure.","
            10/10
            "
"californication-hit","26 November 2018","I went to see this movie in theatre because Tomy hardy was in itexpecting it to be at least watchable, but what a huge disappointement, there is no effort in writing the story, the animation sucks, they even tried to make some funny jokes deadpool way but it failed, im sure even Tom Hardy didnt spend his time watching this garbage.","
            10/10
            "
"keoght","10 October 2018","Just left the cinema from seeing something of a masterpiece! Venom/Brock has been captured perfectly! I believe with critics...haters are going to hate. My opinion (Not Fact) Venom is better than any Spider-Man movie made to date. Tom Hardy pulls it off AGAIN! If your not a fan of my review, that's fine, however, the way I see it, we can do whatever we want! 10/10","
            2/10
            "
