"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"dangerfox-90110","8 August 2023","Spider-Man: Across the spider verse(2023)This movie is a continuation from Into the spider verse and it expands the movie as a whole and it gets progressively better by the dimension they enter in and it got a lot of characters and i mean A LOT A LOT !The art style is what made this movie expands like this and it made what ever the characters are you've got spider punk and spider man india ( was hoping for more screen time ) and spider rex spider cat blah blah blah and moreThe movie is pretty good but the end left me really confused , the last 20 minutes of the film i was confused as heck i couldn't even know what was happening and just overall confused and SHOCKED by what was almost at near the endOverall a build up movie for beyond the spider verse but still cool ! This movie is kinda nuts tbh love it and its very enjoyable would recommend to everyoneoh yeah and btw the main villain of this movie is kinda scary tbh and thats how good the movie isI would recommend to watch the first one then ATSV :-)","
            10/10
            "
"safayet_shawon","10 August 2023","Just watched the movie yesterday (and rewind the last 30 minutes or so several times!).Very few times in multiple film industry's history, the sequel surpassed its predecessors. ""Into the spider-verse"" put itself in such height with every possible parameters like story-line, character buildup, animation style etc and of course the music!Before watching ""across the spider-verse"", I was confident that, this one will at most come close to the first one, AT MOST...
But boy, was I wrong!! Without leaking any (probably!) spoilers, I'll say just this one thing. I watched about 4/5k movies plus TV shows at least. And I never gladly accepted a show/ movie which ended with a cliffhanger, actually hated them. But this one will remain the SINGULAR exception. And I'll be eagerly waiting for ""beyond the spider-verse"".And the last two songs (self love and am I dreaming) hit really hard, specially after watching the movie at one go. Been listening these two songs the whole day (before, after and even during the office time!)","
            10/10
            "
"ha77y73ad97","2 August 2023","There are very few sequels that come to mind that outperform the original in every way, this one certainly does. Not falling into the trap of bigger is better and throwing uncessercary cameos, fan service and budget at a series that was on a very strong footing. Everything in this movie had a purpose as apart of a trilogy.When they did announce that there was going to be a sequel to Into the Spider-verse I was unsure as that ended in a very finite way almost a cash grab from Sony on the back of the first one. I will eat my words that i was wrong, they seem as though they knew where they wanted both this and 3rd installments to end. The story of where this ended was a prefect place and i truly hope that there are screenings for both the 2nd and 3rd when new installment is released.One of the greatest leap forwards that has come from these 2 movies so far is that the animation is on another level artistically wise. Each of the Spider-men has their own unique style, as there have been tones of response over Spider-Punk and is way of being animated is a stroke of genius. Gwen Staceys world bring ripped straight from the panels of a comic with the watercolour emotion changing backgrounds even down to the last universe they visit. That cannot be understated as one of the best designed worlds in the series, as we are going to pick up from that we are going to be in for a visual treat.The cast yet again is stacked and the team behind the first have certainly built upon adding new actors to the roster and Oscar Issacs is a stand out as always. The Anti-Hero Spider-man is a tough character to take on. Played to perfection! Scary yet sombar, violent yet compassionate and down to his back story these are going to touge at the heart strings to then be hating him for the actions that he takes.As a second chapter in a 3 part story this is a marvel (pardon the pun) ends with everyone wanting more as a true story should. As mentioning before this goes into that very exclusive category along with T2: judgement day, The Two Towers and a personal favourite Sherk 2 to name just a few!","
            10/10
            "
"AngelHonesty","29 June 2023","There is not enough good things I can say about this movie, except, go and watch it, its amazing. I have never seen a sequel so good, I honestly think it was better then the first film. The movie is beautifully constructed. The art work is phenomenal and story is extremely interesting. It has everything in a movie that you could ask for and its great for all audiences. There is no agenda being pushed, or political message trying to be told, instead its just a good old fashion movie with a ton of fun, action and adventure, great family values and innocent love. It has the perfect balance of everything. The art work is stunning. And the story is captivating. I could honestly sit and watch this movie over and over again.","
            10/10
            "
"ykjdh","2 June 2023","This might possibly be one of the best movies I've seen all year. I'll definitely put it in my top two for the year. The comics look better in animation in my opinion and the design of this super man looked great in IMAX.If there's anything to complain about, it might be the running time which with previews ran around 2hrs and 25 min. Like a lot of good action movies thought it seem to go by pretty fast. The movie doesn't drag and does a good job with its pacing.This time around Miles Morales finds his spdey going across dimensions to save the universe. I'm not revealing any spoilers but let's just say for the fans of the comics, this one stays true to the material. The soundtrack isn't bad either and helps with the pacing. Above all this is one super hero done right. Recommend you see it on the largest screen you can find. Maybe even the drive in.","
            6/10
            "
"stedz-29848","27 December 2023","Normally I'd round 6.5 up to a 7 but I'd begrudge doing so for this fare. The art style blew me away in the first one and it's pretty good here but not good enough for a free pass. I don't know why they had to make it so long for it to end on a ""TBC"". For me it sums up how I feel about this movie that I don't even care how this finishes, sure I'll probably watch the sequel at some point on a Sunday afternoon. The villain is hardly in the movie and it's just expecting me to sit back and enjoy the various settings and characters, which if this was the first film in this style would be enough. Glad I didn't fall for the hype and spend money at the cinema.","
            5/10
            "
"shiigi1","7 June 2023","Spoiler alert: At 2 hours and fifteen minutes, this is not a complete movie, and unfortunately this was not clear before sitting through this. I was fine with the movie and thought that it was well done, however I dragged my spouse to it, whom I knew would not be a fan, and he was left with a worse feeling than I even expected. Needless to say that he will not be seeing the next installment. Following this movie, we then saw Fast and Furious X, which was also an unadvertised two parter. Hollywood needs to do a better job of alerting folks to this so that an informed decision can be made. It seems that movies are getting longer, and are we now seeing that even 2 1/2 hours isn't adequate to tell a story?","
            10/10
            "
"TBJCSKCNRRQTreviews","2 June 2023","After the explosion of the super collider, there is a growing threat to all known worlds. The nature, identity and responsibility of being a Spider-person is examined.This is much bigger than the first, and they even manage to address the rare flaws: this time, despite the many universes and literally hundreds of characters, it never loses focus on Miles Morales(Moore, spot-on), and the creative, memorable action scenes are now each completely, not only mostly, unique. Considering what I just described, you might not believe me when I say that somehow this manages to not be completely overwhelming. That they managed to make the concept simultaneously infinite in possibility and yet not let it get overpowering.You can watch this without having any prior knowledge of the original movie, the comics, or other iterations. It will tell you everything you need to know. Certain things won't have the same emotional impact, and you will have to pay extremely close attention. But they actually managed it. Your average Spider-Man movie says that a person(way too frequently a Peter Parker, about time we got some more diversity) bitten by the right spider will gain superpowers, don a suit and fight crime. This one expands that into Various animals, shows literally dozens of them, in addition to featuring some great representation(ethnic, gender, age, body size). I would have loved to see openly trans individuals, especially considering the intense reactionary backlash against a split second frame in one of the trailers. Here's hoping we'll get there in part three.This is rated PG. There is no swearing or sexuality, and violence is mild. I recommend this to everyone. Regardless of your age, you can find something to love in this. 10/10.","
            10/10
            "
"russellquisenberry","4 June 2023","15/10!!!! Spider-Man: Across the Spider-Verse is a masterpiece not just for superhero movies and animated movies, but cinema itself!! The Empire Strikes Back meets The Dark Knight of animated sequels!! The story is more dramatic and emotional than I thought. The animation is beautiful, mixing all sorts of animation styles like computer animated, hand drawn, comic book, etc. The voice acting is stellar, especially Shamiek Moore, Hailee Steinfeld, and Oscar Isacc!!! My favorite superhero movie I've seen in a long time. Dear Academy, don't just give this the Oscar for Best Animated Feature but also a nomination for Best Picture!!!! Go see this immediately!!!!","
            10/10
            "
"cadillac20","3 June 2023","Can't rave enough about this movie. Everything was excellent and I have nothing I can think of to complain about. It was a joy to be back, hanging out with Miles, Gwen, Peter, and the handful of new characters. The film takes it's time early on developing Gwen and Miles as they live their separate lives in their respective dimensions and deal with the frustrations and realities of being their own Spider persons. We're immediately given the emotional weight of Gwen's life, one that is very lonely and who has seemingly lost the only friend she had left after having to say goodbye to Miles. Miles is in a similar predicament, though he is less hung up on being alone and missing Gwen, and more so on having to balance school, his responsibilities to his parents, and his role as Spider-Man.After spending some time with their respective lives, we get to the meat of the story, which involves new villain-of-the-week-becoming-major-villain The Spot, who is setting out to further disrupt the multiverse after Kingpin's plot in the first movie. Miguel O'Hara, aka Spider-Man 2099, comes into the picture as having established a hub of Spider characters from various dimensions who are attempting to fix the anomalies created by the collider's explosion from the first film. Miguel acts as a darker version of Spider-Man who has little tolerance for anyone treating their task with anything but the utmost seriousness.The animation and art is once again excellent, this time giving us various designs for the different Spider characters, with Spider Punk and Crimson Spider being highlights. Everyone gets a chance to shine as a character, even when their part is small and the loads of easter eggs and references will delight fans while not feeling superfluous or there purely for fan service. Like No Way Home, this is a celebration of the Spider-Man franchise, but feeling like it's celebrating the entirety of the brand, covering everything from comics, animation, live action, and even the video games. There are quite a few pleasant surprises.Some might be off put by the abrupt ending, especially if they have no idea this the first part of a two part film duoglogy, but having known this going in, I felt pretty comfortable with where it ended. It is a cliffhanger ending, so don't expect to feel like the story has an ending, but it creates an anticipation for the next movie and it's something I can wait patiently for as it comes early next year. Overall, the film, like the first one, demonstrates itself to be one of the year's best. I even expect this to possibly be my favorite film of 2023.","
            10/10
            "
"otto_tieleman","3 July 2023","Spider-man: Across the Spider-Verse continues where Spider-man: into the spider-verse left of.What changed is the scale of the story and the with of animation used to tell the story. The first movie shook up the animation world in a positive way and we can see it's influence in movies like Puss in Boots 2. But this movie expands on it's ambition in animation to go even wilder and more inventive.All the beautiful animation won't be much if the story didn't live up to the animation. We have seen many Marvel films and tv series from Marvel/Disney that have degrade to the point of bloated CGI without any enticing stories, loveless created only to make money but don't deliver on the rich world the comic books have created. Thankfully Sony wiped the slate clean and created a unique, excited and touching story. Not only Miles Morales has an incredible story arch but every side character that is created for the story. Making all characters relatable and it makes you care.Go watch this movie if you can on the best screen you can find as it is worth your money and time and that is something we couldn't have said for a long time for a super hero movie.","
            10/10
            "
"ritesh657","3 June 2023","SpidermanAcrossTheSpiderverseReviewMy Rating : 96/100Across The Spiderverse is a spellbinding and mesmerizing experience and passes the sequel test with aplomb. Starting from developing the endearing characters we loved from the first part, it adds a few solid new ones which are written as brilliantly as we can expect. The dazzling cinematography and animations leaves you tranfixed and the thrilling plot shifts leave you floored. Spiderverse is expanded vividly with the captivating work of humour, emotions and keeps you excited for what next throughout. The loudest hooting when Pavitra Prabhakar , our very own desi Indian Spider-Man comes on screen got me exhilarated. With almost all emotions getting evoked with the drama, tension and elevated climax, the cliffhanger makes me thrilled for the final act. Magical experience.The writing is superlative and introduction of the new concept of Canon event definitely opens up new possibilities. Miguel's Spiderman is terrorizing and adds more seriousness to the plot. While the emotional moments of Miles and Gwen with their family add to the list of winsome moments during the course of the runtime. Manhattan is now Mumbattan and Pavitra Prabhakar made us go crazy. The action and visuals are enthralling to say the least.Overall, if you likes the part 1 stop reading ahead and go watch this epic spectacle asap and if you haven't then its the right time of this weekend to catch up both parts and join in the community of Miles Morales fan club.Instagram & Twitter : streamgenx.","
            10/10
            "
"poseyfan","3 June 2023","One of the best animated movies I've ever seen, hands down. I wasn't the biggest fan of the first. I thought it was a tad overrated. This one takes the strengths of the first and ups it to 11.The animation: etherealThe voice acting: pristineThe story: well doneThe characters: convincing and well-developedThe themes in this movie are very good, and they're told in a thought out and mature way. In other words, it's not afraid to make you feel things and maybe scare your kids a little, despite the PG rating.Comparisons may not always be the best thing, but I believe this movie is better made than No Way Home.The twists at the end were completely unexpected. Overall, the final chapter was set up in a fantastic way.","
            9/10
            "
"Pjtaylor-96-138044","11 June 2023","'Spider-Man: Across The Spider-Verse (2023)' is overwhelmingly fantastic. I'm still buzzing just thinking about it. If the first flick put the bar for stylised animation in the stratosphere, this just catapulted it into another dimension. It's hard to put into words just how viscerally vibrant and visually stunning it is. Its set-pieces simply hit different. The animation, the energy, the aesthetics, the choreography, the music, the sound design, everything just comes together in its unique brand of finely-tuned controlled chaos that keeps each and every exhilarating moment crystal clear even when there's a million different things happening all at once. It's phenomenal. It isn't afraid to pump the breaks every once in a while, too. It slows down considerably to develop its characters and explore their relationships with one another. It's actually quite an emotional experience at times. It has an unconventional structure and, as a result, it takes some pretty big swings with its story. There are some sequences that could have been tightened up and I really wish the picture had retained its original Part One title just to temper people's expectations, but the fact that this film's biggest flaw is simply that it ends is almost unbelievable. I can't say it's better than 'Spider-Man: Into The Spider-Verse (2018)' because it's essentially only half of what it's eventually going to be, but it's a miracle that it's at least as good as that masterpiece (and even outperforms it in terms of sheer spectacle). If they manage to stick the landing with the upcoming sequel (which I have no doubt they will), this is going to be one of the best five-hour movies ever made.","
            9/10
            "
"Rectangular_businessman","29 June 2023","Does Across the Spider-Verse really deserves the 8.9 score it currently holds on Imdb? I don't know, but I enjoyed it immensely from beginning to end, leaving my hopes very high for its next part.Despite its unusual lenght, it never gets boring, keep the same level of fun and excitement from its predecessor, with a rather impressive mixture of many different animation styles and a solid characterization for its large cast.The bar has been set pretty high, and I really hope the sequel does not disappoint. I think it would the be the ultimate resolution of all the loose ends left here which will ultimately decide the staying power of the Spiderverse series.8.5/10.","
            8/10
            "
"Dominic_25_","6 June 2023","I don't remember how long it has been since I've seen the first one but I am pretty sure I liked it better than this one. This is both a sequel and an unfinished story which negatively impacts my interpretations.First of all this film is once again really well done, visually. They went from the interesting art style of the first one to expanding and giving the other universes unique styles. It is so well done and so pretty and I only rarely got overwhelmed with the visuals. I can think of only once. This is a really great film to look at. The filmmakers did such an amazing job.The story is incomplete but pretty well done. I would rather have seen a 6 hour film than a part one. I like how they expanded the characters from the first film and explored more of the multiverse. I am not a huge fan of references to the MCU but the short references to the other live action Spider-Man films are less annoying. Also I only get like half of the references to the comics because I have never read a single Spider-Man comic book. But that's fine I'm not really interested in fan service, if I knew more I might just have been more annoyed. So I loved it and I loved seeing so many different versions of this character. Hobie is my favorite character, once I got used to his accent I realized he has amazing politics. I loved everything he did in this film and I wanted to see more of him but I'm guessing we'll get more of him in part 2.Being a film so heavily interconnected to comics, I feel like they decided it wouldn't be a bad idea to end it on a cliffhanger but they were wrong. The MCU does this thing where they don't have their films be self-contained stories and so they are fine with leaving threads open and teasing future installments. All very similar to actual comic books which are famous for their cliffhangers. Unfortunately, this is a film and I treat them as such because I like films more than comics. If they wanted to tell a grand story then make it a longer movie, I can handle it. Whether they did it because they wanted a second release date for more money, or they did it because of the logistics of having a 3-hour plus movie, I think it was a bad idea. If I wanted an incomplete story that ends on a cliffhanger then I'd read a comic or watch a show.I do think this film justifies it's own existence and I'm glad it was made. I think this story was interesting enough to carry a 6 hour runtime so it could have finished the story. I didn't mind 2.5 hours because it was such a fun story and the visuals were fantastic. Once the second part comes out I'll probably pretend this was just one long movie.","
            10/10
            "
"burntoutboy","2 June 2023","Wow wow wow. This is absolute masterpiece, cannot fault it at all. The animation is probably the best I've ever seen. The level of detail is ridiculous and the amount of effort that went into making this is clearly shown. The voice acting is great, the music is great, it's funny and lots of cool Easter eggs. The story is great as well and leads perfectly into the sequel which I absolutely cannot wait for.I wouldn't be surprised if not only if this was nominated for best animated picture at the Oscars but also best picture, it's that good.There's nothing more to say, just go watch it in yh Cinema and appreciate the art!","
            10/10
            "
"awsafzidane","2 June 2023","One of the most overwhelming movie experiences of my life. A feast for the visual and auditory senses.I had HUGE expectations from this as the first one is one of my favourite animated movies of all time, and this one even surpassed those!It's one of the longest animated movies of Hollywood, but it doesn't drag for a single moment. There's so much happening in this film, it feels like a miracle that it still works so well! So many different animation styles, such great use of colours that portray the emotions of each scene perfectly, dope soundtrack, countless Easter Eggs; and it still doesn't feel exhausting. So many characters and almost all of them have distinct characteristics. You can sense that the creators have an amazing understanding of the characters, and they do them full justice.But it's not just a compilation of awesome psychedelic animation with some great score, it has a fascinating plot too. It handles the multiverse well, delivers a couple of neat plot twists, while being an emotional coming-of-age story of a couple of teenagers trying to balance their dual lives, and maintaining their relationship with their parents.It's the best Spider-Man film ever made. It's one of the best movies ever made.Now I can't wait for the final film which will establish the Spider-Verse trilogy as one of the greatest trilogies of all time.","
            10/10
            "
"jay632","4 June 2023","To be quite honest, the first one was unique, but i didn't think it was great. This movie took everything it learned from part 1 and made vast improvements on every level.This was the multiverse movie i was looking for that the mcu just never did properly. The worlds had depth and not just skipping through it as fast as possible without a chance to digest it.Story was good too, i wasn't expecting much, since we already got the backstory in part 1. But they did a great job expanding the story.Animation also improved from part 1, it was really unique, but they just made it better.By far my favorite part are the cameo's of different spidermans. There's so many, this is fan service done right.","
            10/10
            "
"tjohnson-07046","3 July 2023","This is the best spider-man movie ever yes even better than Tobey Maguire and tom holland movies. Miles was the same character in the first movie really good. The animation was perfect no complaints Gwen was a better character in this movie than the first movie more intenersting and compelling. This is the best version of the Spot he was funny but over-time he became a huge threat to every spider-verse in fact every multi-verse. Miguel was ruthless and a very compelling antagonist. And every joke made me laugh.no bad jokes unlike the MCU now. I was suprised how good this was. The ending could make people disappointed but i wasn't i was hyped for the next one.","
            10/10
            "
"willphelan","4 November 2023","I never thought Into the Spider Verse was a movie that needed a sequel, but Across the Spider Verse is just as incredible as Into the Spider Verse. The animation style is even more beautiful than in the first movie, every shot looks like a painting. The exploration of Miles and Gwen and what it really means to be Spider Man is excellent, and leads to so many deep and emotional moments. Every scene with Miles' parents were top tier. The voice cast all gave it everything they had, and Hailee Steinfeld as Gwen was the stand out for me. The cliffhanger ending was so epic, it actually gave me chills. If the third movie is as good as these first two this might become the best trilogy of all time. 10/10.","
            10/10
            "
"leekeithf","9 September 2023","Absolute cracker of a film! Forget that it's animated, it is a film and first rate at that. The animation is out of this world, the music amazing, the story top notch and script superb. It's not often you get everything just right, but this surpasses getting it right; it's an amazing film. Even the Brit-Punk Spiderman, they got it spot on. The humour is also good and pitched at the right level, even having an apt joke about the villain talking about holes. The characters were well thought out, the dialogue was appropriate and well written. In fact, my son & I cannot criticise any of it. It's on par with the Christopher Nolan Batman films. If they could apply this level to something like DC's Injustice it would be brill. I am so glad I watched it and it's part of a 3 piece story, not just a sequel because it will make money. The story is coherent and sound and the level of research that has gone into getting it right has worked. I cannot praise it enough.","
            10/10
            "
"GhostReacher","10 August 2023","GOSH! This is fantastic!I still cannot get over the Animation, beyond good! Love how it just changes with background. It just perfectly blends in with the crazy multiverse theme. It's so good and it conveys everything, the emotions, the step to seriousness and everything. Every single scene makes you to look at it with high focus in case you miss something.The artwork is fantastic. Massive step up from previously awesome ITTS.The Soundtrack man, it is up there with the very best for me. Just so so good.The Easter Eggs are all abound, which makes it more exciting.The Story and the direction they took was much lovely!","
            10/10
            "
"Blashma","1 June 2023","The movie did a great job in the first part and I really enjoyed it so personally I am especially looking forward to the second part and after watching the movie it exceeded my expectations.I love how the film expands its scope and adds more stories to the characters, specifically Gwen (Gwanda), in the new cast I'm super impressed with Oscar Isaac as the voice of Miguel O 'hara , he's been through enough pain to make himself responsible for protecting Spider-Verse and believing himself to be right no matter what . Speaking of Miles, he's really matured in this part, he's just a 15 year old kid who has to balance his Spider-man lifestyle with himself, I like the way Miles tackles problems differently from the rest of Spider-Man . The movie is really fan service, making viewers satisfied with every detail, graphics and family story of Spider-Man.I love every moment of this movie and am looking forward to the sequel, hopefully more Miles and Spider-Verse movies will come out.","
            10/10
            "
"IsThatJoseph21","4 June 2023","For the past two years, No Way Home was my favorite Spider-Man movie. Now, that title belongs to Across the Spider-Verse. Besides being a great Spider-Man movie, I'd consider this a great movie in general. I just saw Across the Spider-Verse, but I already feel comfortable placing this movie in the same category of sequels like The Empire Strikes Back, Aliens, Terminator 2, and The Dark Knight, which surpass every aspect of their predecessors.I love Into the Spider-Verse as much as everyone else, but I believe Across the Spider-Verse improves everything from the first movie. The one part of Into the Spider-Verse that always held it back from a 10/10 to me is the villains. Kingpin and the Prowler are serviceable, but I always thought they were uninteresting. With Across the Spider-Verse, the villain is a major improvement. Miguel O'Hara had a compelling motivation, while also being a genuinely threatening antagonist.I already thought Into the Spider-Verse's animation was breathtaking, but Across the Spider-Verse somehow surpasses it. The entire movie looks like a work of art, but the highlight for me would be every scene in Gwen's universe. The backgrounds and colors in those scenes are gorgeous. Just like the first movie, the fights here are fast-paced and fun. There are plenty of memorable action scenes here, but I particularly loved the first fight between Miles Morales and the Spot.This is sort of out of topic, but I also think Across the Spider-Verse was a better multiverse movie than Multiverse of Madness. Not only was the concept of other dimensions better utilized in Across the Spider-Verse, they were also more visually distinct here. Maybe it's because of the fact that this movie is animated, but each dimension in Across the Spider-Verse was able to have their own style and color to them, unlike the ones featured in Multiverse of Madness.Overall, Across the Spider-Verse is yet another masterpiece in the Spider-Verse series. It's both my favorite Spider-Man movie and my favorite movie of 2023. I know this year isn't over yet, but it's going to be tough to top this movie. I give Across the Spider-Verse a 10/10.","
            10/10
            "
"ar_amulya","2 June 2023","That 5 year long wait was worth it! Just like with the first movie it's going to take a long time to fully process what I just watched. But I couldn't be happier right now. Across the Spider-Verse is everything I wanted in a Spider-Man movie and is the perfect sequel. Most importantly even with all the spider characters/cameos this is still Miles' movie. That ending?!?! We're really about to get one of the best trilogies ever.Special thank you to all the artists that contributed to this movie. I don't know how they do it, but visually Across the Spider-Verse is on another level. There are so many shots that blew my mind. I can't wait to break down this movie frame by frame. This is just the beginning. I know this movie is going to consume my life for the next couple of years.","
            10/10
            "
"brijbinisy","4 July 2023","What a movie!! Animation was secondary, the story... omg story was sooo good.BGM is sooo perfect. Hummingbird, Calling you, Self love.. they r just too good n fits perfectly..Interrelation of both movies (Into the spider verse) and in this is soo cool..Representation of miles character and his mindset of doing both saving his family and his universe as he said in 'Into the spider verse' that he will always have his family..Introduction of Spider punk! Man he's not hobie he is HOMIE.Indian Spiderman ""Pav"" is super cute and plays important role in the movie.. (btw love the way he swings, just super unique and satisfying)Gwen learning to take 'leap of faith' from miles is soo deep.. she keeps being scared of messing things up and not harming the one she loves the most (obviously miles) but in other hand miles is ready to risk it all..Miguel is super cool.. has other perception towards faith and multiverse (just like Dr strange)AND can't just get over the cuteness of Mayday.. She is super cute !!!JUST CANT WAIT OF ACROSS THE SPIDER VERSE!I JUST WANT MILES AND GWEN TOGETHER ANYHOW.","
            10/10
            "
"inovski","11 June 2023","We waited 5 years for a sequel and let me tell you, it was worth it.This movie had me glued to my seat for the entirety of it's runtime. I loved everything about this movie hence why I rated it a 10.Animation: The animation was breathtaking, it never seized to amaze me. It is so obvious from the get go that the people behind this movie put in so much time and effort to create what's probably the best spiderman adaptation that exists. Without the talent and dedication from the animators, this movie wouldn't even be half as good.The plot: Superb all in all, everything tied together very well and I enjoyed how we had 2 storylines at the same time that get tied together, which makes the whole story that much better and immersive. I'm sad that we have to wait another 3-5 years for the next one but at least we know it will be perfect.The characters: They perfectly captured spiderman's charm and humor. The small differences they showed in each spiderman was really fun to see as well.All in all this movie took what the first one did well and made it basically perfect. This is the first time I've come out of the theater without any cons to list. If you haven't watched the movie yet, DO IT NOW!","
            10/10
            "
"neil-476","2 June 2023","Miles Morales' second adventure brings him back into contact with Spider-Gwen. Outcast from her own universe where she has been erroneously accused of the death of her Peter, she is now working with a squad of spider-people patrolling the multiverse. Meanwhile, Miles as problems with new villain, The Spot.Plotwise and characterwise, this is fun. It mixes some emotional character stuff with exciting action, and interesting (and sometimes unexpected) plot developments, right up to the end. Oh did I say ""The End""?...There's plenty of fan service here.Yes, but what does it look like? Because the look of the first one was striking, right? I bet this is jnot as good, or just more of the same, right?Wrong. The look of this film, whether a quiet scene in an office, or a hyper-kinetic action scene, is simply dazzling. There are so many animation styles, and touches, and tweaks, and Every. Single. One of them serves a dramatic purpose in the storytelling.Fantasic.","
            5/10
            "
"cstull91","8 June 2023","The film made me so upset because there was no epilepsy or flashing lights warning, horrid sound mixing, and overall so flashy it just wasn't fun. I got so overstimulated by the constant flashing lights that I could not enjoy the film. I was having to watch through my fingers. I don't understand why they decided to make 80% of the film a jolting van gogh kaleidoscope, that feels like you're watching it all in VR. It felt as if the Visual Team wanted the entire film to mirror the feeling you get as you're going through the wormhole sequence in Doctor Strange, but for 2.5hrs. Kinda feels Ableist to be honest. I could not enjoy the film, it was torturous. I am deeply saddened by just how flashy the film was. Also, what was the message of the film? Parenting is hard and it's ok to be selfish to get what you desire, regardless of consequences? I'm really confused by the high scores. I consider myself to be a cinephile, with having seen thousands of films and enjoying most all films, sometimes even bad ones. I am saddened to say that I am deeply in disagreement with the 9.1 current rating and 90% rotten, it makes no sense to me at all. This film was so over produced that it made my head physically hurt. Sony, maybe try and be less ableist when you're thinking about creating 2hrs of strobe light animation; it didn't need the consistent glitching, pulsating, and flashing mechanic to the multi-layered animation styles.It honestly felt expensive, but overall just lazy.Really disappointed.","
            7/10
            "
"akseliiikonen","1 June 2023","I had decently big expectations for this one, especially for a spider man movie, but rarely any of them were filled.I don't know how people find this movie that great, i just find it an ok movie with an ok plot. I definitely saw a lot of potential, but the plot was too overwhelming with so many things in the background. Main thing that i didn't like was the lack of action. I went to watch this movie to see a great plot, and a ton of action, but that certainly didn't happen.The first 40 minutes of the movie covers just the main characters which i found pretty boring. Rest of the movie was just 20 things happening at the same time. I felt like falling asleep halfway through, but luckilt at least there was some action.Definitely an ""Avengers: infinity war"" try, but lacks action. 7/10 at most.","
            10/10
            "
"thePopcornExplorer","24 June 2023","I think as audiences we know how hard it is for sequels to meet our expectations when the first installment of a saga was already an outstanding piece of art, it feels so good when sequels keep those standards...The sequel of the Spider-Verse gets almost everything right, it manages to bring you back to the insanely original multiverse storyline that was introduced to us on the first film, yet it manages to not fall into the trap of being a repetitive storyline with the same elements.I can't even properly comment the animation work, there are no words to describe how amazing it is, the detail that each universe depicted seems to have its own kind of animation is insane and it continues to be without a doubt the only Marvel / DC movie to make a proper homage to comic books, the original super hero format.It keeps the frenetic energy that the first got us used to, something is always happening and it's interesting to keep following, elements of the first story are brought to continue the protagonists journey and it's an organic narrative, doesn't feel like a forced story line for the sake of a sequel, it makes sense.All universes are beautifully animated, the soundtrack gives you ton of energy, everywhere in the movie you see marvelous imagery, a true piece of art.Adding the this the voice acting is also on point, it's an animated movie and it feels that it is leading the way on how animation should be used specially on the super hero / comic book adaptation world.Filled with dramatic and eye tearing moments and of course with themes that are transversal to probably every person either parent or child and that most of us can probably relate, gives soul to an already beautiful film. A pioneer film that continues on top of its game, I can't wait for the third..!","
            10/10
            "
"nicolepa05","11 July 2023","Seen on June 3, 2023 (most of the review is written based on the Latin dubbing of it, because of that, I'm from Argentina).I saw it at the cinema last weekend, and I can only say one thing, it's beautiful... it's that, god, it's great, like, with the style and quality of the animation Sony keeps surprising me more and more, apart from that, the styles, my god, there's a mixture of so many between the multiverse and the multiple realities of Spidey that it made me a little dizzy, but still, it looks beautiful.Aside from the humor, which I actually found quite funny in certain parts, and aside from another aspect, which is quite criticized, yeah, I'm talking about the dubbing... obviously I reject the idea that most of the dubbing is formed by Startalents from YT, Twitch, Tik Tok and all that, but in my honest opinion, yes, obviously I noticed a certain change, and I disliked some voices, but in itself the dubbing is not bad, it's like it just happened as the movie progressed. I didn't like Juan Guarnizo's voice too much, Pipe Punk's a little bit yes, and I had even read that the youtuber Jugando con Natalia (Juan Manuel Paradiso) had participated in the Latin dubbing, if you can tell me which character he dubbed, I would be very grateful, even being the most attentive, I still can't figure out which character he dubbed his voice to.Besides, I have to admit that I didn't watch ""Into the Spider-Verse"", only several clips, although I still managed to understand the movie and the story.God, when I saw the ending I was left with all the intrigue in the world, and I was like well, let's wait until next year when they release part 2, there's no other way...","
            10/10
            "
"TheSquareTiger","10 September 2023","A movie definitely recommended to Spider Man fans, although I haven't seem the old Spider Man cartoons but this movie has so many references from Venom to Doctor Strange and the Peter who fought Mysterio in the last film become Miles Morales and we got to see an expansion of Gwen Stacy and her story and this movie was mainly about Miles saving his dad and Gwen and her dad's relationship and also getting to see the most popular Spider Man meme as well as seeing how every other Spider characters lost someone they loved and Miles not wanting that to happen.Glad I watched this film on the plane too:D.","
            10/10
            "
